filename,translit,translit_raw,runic_approx,n_chars,source,split,had_word_divider,comment
93_48_1str.png,saRþatbarutR,sᴀzþᴀtbᴀrutz,ᛊᚨᛉᚦᚨᛏᛒᚨᚱᚢᛏᛉ,12,real,real_test,False,
93_48_2str.png,utiaRweladaude,utiᴀzwelᴀdᴀude,ᚢᛏᛁᚨᛉᚹᛖᛚᚨᛞᚨᚢᛞᛖ,14,real,real_test,False,
93_48_3str.png,haeramalausR,hᴀerᴀmᴀlᴀusz,ᚺᚨᛖᚱᚨᛗᚨᛚᚨᚢᛊᛉ,12,real,real_test,False,
93_48_4str.png,inarunaRarageu,inᴀrunazᴀrᴀgeu,ᛁᚾᚨᚱᚢᚾᚨᛉᚨᚱᚨᚷᛖᚢ,14,real,real_test,False,
93_48_5str.png,falahakhaiderag,fᴀlᴀhᴀkhᴀiderᴀg,ᚠᚨᛚᚨᚺᚨᚲᚺᚨᛁᛞᛖᚱᚨᚷ,15,real,real_test,False,
93_48_6str.png,haidRrunoronu,hᴀidzrunoronu,ᚺᚨᛁᛞᛉᚱᚢᚾᛟᚱᛟᚾᚢ,13,real,real_test,False,
93_24.png,uþarabasba,uþᴀrᴀbᴀsbᴀ,ᚢᚦᚨᚱᚨᛒᚨᛊᛒᚨ,10,real,real_test,False,
93_3.png,uþarabasba,uþᴀrᴀbᴀsbᴀ,ᚢᚦᚨᚱᚨᛒᚨᛊᛒᚨ,10,real,real_test,False,
92_2_1str.png,niuhagestumR,niuhagestumz,ᚾᛁᚢᚺᚨᚷᛖᛊᛏᚢᛗᛉ,12,real,real_test,False,
92_2_2str.png,niuhaborumR,niuhᴀborumz,ᚾᛁᚢᚺᚨᛒᛟᚱᚢᛗᛉ,11,real,real_test,False,
92_2_3str.png,haþuwolafRgafj,hᴀþuwolᴀfzgᴀfj,ᚺᚨᚦᚢᚹᛟᛚᚨᚠᛉᚷᚨᚠᛃ,14,real,real_test,False,
92_2_4str.png,hariwolafRma,hᴀriwolᴀfzmᴀ,ᚺᚨᚱᛁᚹᛟᛚᚨᚠᛉᛗᚨ,12,real,real_test,False,
92_2_5str.png,hideRrunonofel,hidezrunonofel,ᚺᛁᛞᛖᛉᚱᚢᚾᛟᚾᛟᚠᛖᛚ,14,real,real_test,False,
92_2_6str.png,oronoR,oronoz,ᛟᚱᛟᚾᛟᛉ,6,real,real_test,False,
86_0.png,Ritsagudiw,zitsagudiw,ᛉᛁᛏᛊᚨᚷᚢᛞᛁᚹ,10,real,real_test,False,
84_4.png,Ragiþial,zagiþial,ᛉᚨᚷᛁᚦᛁᚨᛚ,8,real,real_test,False,
83_0.png,skiþaleubaR,skiþaleubaz,ᛊᚲᛁᚦᚨᛚᛖᚢᛒᚨᛉ,11,real,real_test,False,
82_1.png,Ritsagilas,zitsagilas,ᛉᛁᛏᛊᚨᚷᛁᛚᚨᛊ,10,real,real_test,False,
82_2.png,onif,onif,ᛟᚾᛁᚠ,4,real,real_test,False,
81_2.png,harijaleugaR,harijaleugaz,ᚺᚨᚱᛁᛃᚨᛚᛖᚢᚷᚨᛉ,12,real,real_test,False,
80_2.png,iRhaiwidaRþar,izhaiwidazþar,ᛁᛉᚺᚨᛁᚹᛁᛞᚨᛉᚦᚨᚱ,13,real,real_test,False,
77_4.png,igionhalaR,igionhalaz,ᛁᚷᛁᛟᚾᚺᚨᛚᚨᛉ,10,real,real_test,False,
77_0.png,igionhalaR,igionhalaz,ᛁᚷᛁᛟᚾᚺᚨᛚᚨᛉ,10,real,real_test,False,
76_2.png,hariþulfsstaina,hᴀriþulfs:stᴀinᴀ,ᚺᚨᚱᛁᚦᚢᛚᚠᛊᛊᛏᚨᛁᚾᚨ,15,real,real_test,True,
5243_1_tin.png,tin,,,3,synth,train,False,
5279_1_raniaoþnuikur.png,raniaoþnuikur,,,13,synth,train,False,
5364_2_leiknar-raist.png,leiknar raist,,,12,synth,train,True,
5364_2_leiknar.png,leiknar,,,7,synth,train,False,
5364_2_raist.png,raist,,,5,synth,train,False,
5364_5_siin.png,siin,,,4,synth,train,False,
5364_5_tir.png,tir,,,3,synth,train,False,
5393_0_guþfirilati.png,guþfirilati,,,11,synth,train,False,
5396_0_eft.png,eft,,,3,synth,train,False,
5396_0_stain-eft.png,stain eft,,,8,synth,train,True,
5396_0_stain.png,stain,,,5,synth,train,False,
5396_2_lit-kier.png,lit kier,,,7,synth,train,True,
5396_3_a-stain-eft.png,a stain eft,,,9,synth,train,True,
5396_3_eft.png,eft,,,3,synth,train,False,
5396_3_it-kier.png,it kier,,,6,synth,train,True,
5396_3_it.png,it,,,2,synth,train,False,
5396_3_kier.png,kier,,,4,synth,train,False,
5396_3_stain-eft.png,stain eft,,,8,synth,train,True,
5396_3_stain.png,stain,,,5,synth,train,False,
5398_2_rai.png,rai,,,3,synth,train,False,
